ip,platform,browser,os,city,region,country,time,date,query,found,id,title,description,doc_date,url
84.89.157.16,Mac OS,Safari,Macintosh,,,,18:57:44,2023-11-30,putins bomb,520,1575523835809566725,- Pakistan atomic bomb. #Ukraine,"-
Pakistan has the atomic bomb. Why couldn't #Ukraine have it too? 😄
-
#UkraineRussiaWar #PutinWarCriminal #BuchaMassacre #Zelensky #WarInUkraine #Putin #RussianUkrainianWar #RussiaUkraineWar #RussiaInvadedUkraine #Russians #UkraineWar #UkraineWillWin #UkraineArmy",Thu Sep 29 16:32:08 +0000 2022,
84.89.157.16,Mac OS,Safari,Macintosh,,,,18:57:44,2023-11-30,putins bomb,520,1575523835809566725,- Pakistan atomic bomb. #Ukraine,"-
Pakistan has the atomic bomb. Why couldn't #Ukraine have it too? 😄
-
#UkraineRussiaWar #PutinWarCriminal #BuchaMassacre #Zelensky #WarInUkraine #Putin #RussianUkrainianWar #RussiaUkraineWar #RussiaInvadedUkraine #Russians #UkraineWar #UkraineWillWin #UkraineArmy",Thu Sep 29 16:32:08 +0000 2022,
84.89.157.16,Mac OS,Safari,Macintosh,,,,18:57:44,2023-11-30,putins bomb,520,1575523835809566725,- Pakistan atomic bomb. #Ukraine,"-
Pakistan has the atomic bomb. Why couldn't #Ukraine have it too? 😄
-
#UkraineRussiaWar #PutinWarCriminal #BuchaMassacre #Zelensky #WarInUkraine #Putin #RussianUkrainianWar #RussiaUkraineWar #RussiaInvadedUkraine #Russians #UkraineWar #UkraineWillWin #UkraineArmy",Thu Sep 29 16:32:08 +0000 2022,
84.89.157.16,Mac OS,Safari,Macintosh,,,,18:57:44,2023-11-30,putins bomb,520,1575642018562203650,#Russia #Ukraine NATO: Finland fight,"#Russia #Ukraine 
NATO: How Finland will fight in a war with Russia after Ukraine invasion
#Finland accepted into #NATO

#Putin #Russian #RussianArmy #Ukrainian #UkraineRussiaWar #Russland #Kharkiv #Zelensky #UkraineWar #Kherson #RussianMobilization #USA
https://t.co/vBtrF8XfGL",Fri Sep 30 00:21:45 +0000 2022,https://t.co/TM0TMGbdjF
84.89.157.16,Mac OS,Safari,Macintosh,,,,18:57:44,2023-11-30,russia invasion,1395,1575523835809566725,- Pakistan atomic bomb. #Ukraine,"-
Pakistan has the atomic bomb. Why couldn't #Ukraine have it too? 😄
-
#UkraineRussiaWar #PutinWarCriminal #BuchaMassacre #Zelensky #WarInUkraine #Putin #RussianUkrainianWar #RussiaUkraineWar #RussiaInvadedUkraine #Russians #UkraineWar #UkraineWillWin #UkraineArmy",Thu Sep 29 16:32:08 +0000 2022,
84.89.157.16,Mac OS,Safari,Macintosh,,,,18:57:44,2023-11-30,russia invasion,1395,1575642018562203650,#Russia #Ukraine NATO: Finland fight,"#Russia #Ukraine 
NATO: How Finland will fight in a war with Russia after Ukraine invasion
#Finland accepted into #NATO

#Putin #Russian #RussianArmy #Ukrainian #UkraineRussiaWar #Russland #Kharkiv #Zelensky #UkraineWar #Kherson #RussianMobilization #USA
https://t.co/vBtrF8XfGL",Fri Sep 30 00:21:45 +0000 2022,https://t.co/TM0TMGbdjF
84.89.157.16,Mac OS,Safari,Macintosh,,,,18:57:44,2023-11-30,putins bomb,520,1575523835809566725,- Pakistan atomic bomb. #Ukraine,"-
Pakistan has the atomic bomb. Why couldn't #Ukraine have it too? 😄
-
#UkraineRussiaWar #PutinWarCriminal #BuchaMassacre #Zelensky #WarInUkraine #Putin #RussianUkrainianWar #RussiaUkraineWar #RussiaInvadedUkraine #Russians #UkraineWar #UkraineWillWin #UkraineArmy",Thu Sep 29 16:32:08 +0000 2022,
84.89.157.16,Mac OS,Safari,Macintosh,,,,18:57:44,2023-11-30,putins bomb,520,1575642018562203650,#Russia #Ukraine NATO: Finland fight,"#Russia #Ukraine 
NATO: How Finland will fight in a war with Russia after Ukraine invasion
#Finland accepted into #NATO

#Putin #Russian #RussianArmy #Ukrainian #UkraineRussiaWar #Russland #Kharkiv #Zelensky #UkraineWar #Kherson #RussianMobilization #USA
https://t.co/vBtrF8XfGL",Fri Sep 30 00:21:45 +0000 2022,https://t.co/TM0TMGbdjF
84.89.157.16,Mac OS,Safari,Macintosh,,,,18:57:44,2023-11-30,putins bomb,520,1575821705695535104,#Russia #Ukraine NATO: Finland fight,"#Russia #Ukraine 
NATO: How Finland will fight in a war with Russia after Ukraine invasion
#Finland accepted into #NATO

#Putin #Russian #RussianArmy #Ukrainian #UkraineRussiaWar #Russland #Kharkiv #Zelensky #UkraineWar #Kherson #RussianMobilization #USA
https://t.co/vBtrF8XfGL",Fri Sep 30 12:15:46 +0000 2022,https://t.co/TM0TMGbdjF
84.89.157.16,Mac OS,Safari,Macintosh,,,,18:57:44,2023-11-30,putins bomb,520,1575457685679513600,#Russia #Ukraine NATO: Finland fight,"#Russia #Ukraine 
NATO: How Finland will fight in a war with Russia after Ukraine invasion
#Finland accepted into #NATO

#Putin #Russian #RussianArmy #Ukrainian #UkraineRussiaWar #Russland #Kharkiv #Zelensky #UkraineWar #Kherson #RussianMobilization #USA
https://t.co/vBtrF8FEPd",Thu Sep 29 12:09:17 +0000 2022,https://t.co/TM0TMGbdjF
84.89.157.16,Mac OS,Safari,Macintosh,,,,18:57:44,2023-11-30,putins bomb,520,1575823896867180544,#OnePiece Oda foreshadowed Russian invasion,"#OnePiece
Oda foreshadowed how the Russian invasion of Ukraine would go
#UkraineRussiaWar #NAFO https://t.co/kb67VpXnm9",Fri Sep 30 12:24:29 +0000 2022,
84.89.157.16,Mac OS,Safari,Macintosh,,,,18:57:44,2023-11-30,putins bomb,520,1575486045185277953,Operational information Russian invasion (September,"Operational information on the Russian invasion (September 29)

https://t.co/hQzXMAznLg

#StandWithUkraine️ #UkraineRussiaWar https://t.co/aNd8TxIdSL",Thu Sep 29 14:01:58 +0000 2022,https://t.co/2Hvqfra0QA
84.89.157.16,Mac OS,Safari,Macintosh,,,,18:57:44,2023-11-30,russia invasion,1395,1575523835809566725,- Pakistan atomic bomb. #Ukraine,"-
Pakistan has the atomic bomb. Why couldn't #Ukraine have it too? 😄
-
#UkraineRussiaWar #PutinWarCriminal #BuchaMassacre #Zelensky #WarInUkraine #Putin #RussianUkrainianWar #RussiaUkraineWar #RussiaInvadedUkraine #Russians #UkraineWar #UkraineWillWin #UkraineArmy",Thu Sep 29 16:32:08 +0000 2022,
84.89.157.16,Mac OS,Safari,Macintosh,,,,18:57:44,2023-11-30,russia invasion,1395,1575642018562203650,#Russia #Ukraine NATO: Finland fight,"#Russia #Ukraine 
NATO: How Finland will fight in a war with Russia after Ukraine invasion
#Finland accepted into #NATO

#Putin #Russian #RussianArmy #Ukrainian #UkraineRussiaWar #Russland #Kharkiv #Zelensky #UkraineWar #Kherson #RussianMobilization #USA
https://t.co/vBtrF8XfGL",Fri Sep 30 00:21:45 +0000 2022,https://t.co/TM0TMGbdjF
84.89.157.16,Mac OS,Safari,Macintosh,,,,18:57:44,2023-11-30,russia invasion,1395,1575821705695535104,#Russia #Ukraine NATO: Finland fight,"#Russia #Ukraine 
NATO: How Finland will fight in a war with Russia after Ukraine invasion
#Finland accepted into #NATO

#Putin #Russian #RussianArmy #Ukrainian #UkraineRussiaWar #Russland #Kharkiv #Zelensky #UkraineWar #Kherson #RussianMobilization #USA
https://t.co/vBtrF8XfGL",Fri Sep 30 12:15:46 +0000 2022,https://t.co/TM0TMGbdjF
84.89.157.16,Mac OS,Safari,Macintosh,,,,18:57:44,2023-11-30,russia invasion,1395,1575457685679513600,#Russia #Ukraine NATO: Finland fight,"#Russia #Ukraine 
NATO: How Finland will fight in a war with Russia after Ukraine invasion
#Finland accepted into #NATO

#Putin #Russian #RussianArmy #Ukrainian #UkraineRussiaWar #Russland #Kharkiv #Zelensky #UkraineWar #Kherson #RussianMobilization #USA
https://t.co/vBtrF8FEPd",Thu Sep 29 12:09:17 +0000 2022,https://t.co/TM0TMGbdjF
84.89.157.16,Mac OS,Safari,Macintosh,,,,18:57:44,2023-11-30,russia invasion,1395,1575823896867180544,#OnePiece Oda foreshadowed Russian invasion,"#OnePiece
Oda foreshadowed how the Russian invasion of Ukraine would go
#UkraineRussiaWar #NAFO https://t.co/kb67VpXnm9",Fri Sep 30 12:24:29 +0000 2022,
84.89.157.16,Mac OS,Safari,Macintosh,,,,18:57:44,2023-11-30,russia invasion,1395,1575486045185277953,Operational information Russian invasion (September,"Operational information on the Russian invasion (September 29)

https://t.co/hQzXMAznLg

#StandWithUkraine️ #UkraineRussiaWar https://t.co/aNd8TxIdSL",Thu Sep 29 14:01:58 +0000 2022,https://t.co/2Hvqfra0QA
84.89.157.16,Mac OS,Safari,Macintosh,,,,19:01:12,2023-11-30,ukraine will attack back,1370,1575341804781723648,need bring back support Ukraine.,"We need to bring these back in support for Ukraine. 
#SlavaUkraini #UkraineRussiaWar
#heymoscowupyourstshirt #russiaisateroriststate #ruzziaphobic https://t.co/k8zoc19X9Q",Thu Sep 29 04:28:49 +0000 2022,
84.89.157.16,Mac OS,Safari,Macintosh,,,,19:01:12,2023-11-30,ukraine will attack back,1370,1575341804781723648,need bring back support Ukraine.,"We need to bring these back in support for Ukraine. 
#SlavaUkraini #UkraineRussiaWar
#heymoscowupyourstshirt #russiaisateroriststate #ruzziaphobic https://t.co/k8zoc19X9Q",Thu Sep 29 04:28:49 +0000 2022,
84.89.157.16,Mac OS,Safari,Macintosh,,,,19:01:12,2023-11-30,ukraine will attack back,1370,1575617331145101312,#US #Nato #hypocrisy #USA empire,"#US #Nato #hypocrisy and #USA empire of lies has no limits...
 they will use this falseflag attack as a means for declaring war (send their troops to #ukraine) on #Russia after #putin speech tomorrow 
#NordStream2 #Nordstream1 #UkraineRussiaWar 
#sanktionengegenusa #Germany https://t.co/k6BVWREVV9",Thu Sep 29 22:43:39 +0000 2022,
84.89.157.16,Mac OS,Safari,Macintosh,,,,19:01:12,2023-11-30,ukraine will attack back,1370,1575834582275878912,Details sketchy think Putin annexed,"Details are sketchy but I think Putin just annexed South Korea...

#UkraineRussiaWar 
#OSINT
#Fellas #NAFO https://t.co/njgRD26O0D",Fri Sep 30 13:06:56 +0000 2022,
84.89.157.16,Mac OS,Safari,Macintosh,,,,19:01:12,2023-11-30,trump and north korea,31,1575341804781723648,need bring back support Ukraine.,"We need to bring these back in support for Ukraine. 
#SlavaUkraini #UkraineRussiaWar
#heymoscowupyourstshirt #russiaisateroriststate #ruzziaphobic https://t.co/k8zoc19X9Q",Thu Sep 29 04:28:49 +0000 2022,
84.89.157.16,Mac OS,Safari,Macintosh,,,,19:01:12,2023-11-30,trump and north korea,31,1575617331145101312,#US #Nato #hypocrisy #USA empire,"#US #Nato #hypocrisy and #USA empire of lies has no limits...
 they will use this falseflag attack as a means for declaring war (send their troops to #ukraine) on #Russia after #putin speech tomorrow 
#NordStream2 #Nordstream1 #UkraineRussiaWar 
#sanktionengegenusa #Germany https://t.co/k6BVWREVV9",Thu Sep 29 22:43:39 +0000 2022,
84.89.157.16,Mac OS,Safari,Macintosh,,,,19:01:12,2023-11-30,trump and north korea,31,1575834582275878912,Details sketchy think Putin annexed,"Details are sketchy but I think Putin just annexed South Korea...

#UkraineRussiaWar 
#OSINT
#Fellas #NAFO https://t.co/njgRD26O0D",Fri Sep 30 13:06:56 +0000 2022,
84.89.157.16,Mac OS,Safari,Macintosh,,,,19:01:12,2023-11-30,ukraine will attack back,1370,1575341804781723648,need bring back support Ukraine.,"We need to bring these back in support for Ukraine. 
#SlavaUkraini #UkraineRussiaWar
#heymoscowupyourstshirt #russiaisateroriststate #ruzziaphobic https://t.co/k8zoc19X9Q",Thu Sep 29 04:28:49 +0000 2022,
84.89.157.16,Mac OS,Safari,Macintosh,,,,19:01:12,2023-11-30,ukraine will attack back,1370,1575617331145101312,#US #Nato #hypocrisy #USA empire,"#US #Nato #hypocrisy and #USA empire of lies has no limits...
 they will use this falseflag attack as a means for declaring war (send their troops to #ukraine) on #Russia after #putin speech tomorrow 
#NordStream2 #Nordstream1 #UkraineRussiaWar 
#sanktionengegenusa #Germany https://t.co/k6BVWREVV9",Thu Sep 29 22:43:39 +0000 2022,
84.89.157.16,Mac OS,Safari,Macintosh,,,,19:01:12,2023-11-30,ukraine will attack back,1370,1575834582275878912,Details sketchy think Putin annexed,"Details are sketchy but I think Putin just annexed South Korea...

#UkraineRussiaWar 
#OSINT
#Fellas #NAFO https://t.co/njgRD26O0D",Fri Sep 30 13:06:56 +0000 2022,
84.89.157.16,Mac OS,Safari,Macintosh,,,,19:01:12,2023-11-30,ukraine will attack back,1370,1575388580389822464,"300,000 people fled Ukraine last","@KyivPost 300,000 more people fled Ukraine in the last week for other countries. This trumps any Russian losses. Ukraine and @Zelenskyyua will always unequivocally be losers
#UkraineWar #UkraineRussiaWar #usa https://t.co/pBmK7m3wkK",Thu Sep 29 07:34:41 +0000 2022,https://t.co/9V7VokEQNB
84.89.157.16,Mac OS,Safari,Macintosh,,,,19:01:12,2023-11-30,ukraine will attack back,1370,1575903030490562560,🇺🇦Not Russia #RussiaIsLosing #NAFO #Fellas,"🇺🇦Not Russia

#RussiaIsLosing  #NAFO #Fellas
#UkraineRussiaWar #Anonymous #FckPutin #StandWithUkraine #PutinIsaWarCriminal 
#RussianArmy #RussianInvasion #UkraineUnderAttaсk 
#РоссияСмотри #RussiaIsATerroristState #CancelRussia https://t.co/YyTzJm68CB",Fri Sep 30 17:38:55 +0000 2022,https://t.co/74dPyn9F9a
84.89.157.16,Mac OS,Safari,Macintosh,,,,19:01:12,2023-11-30,ukraine will attack back,1370,1575520337369890818,⭕️ #UkraineRussiaWar l: #Putin otheroption,⭕️ #UkraineRussiaWar l: #Putin has no otheroption but to attack against #Ukraine from #Belarus territory. Unconfirmed INFO talk about the transportation of 20000 soldiers (draftees) in Belarus.,Thu Sep 29 16:18:14 +0000 2022,
84.89.157.16,Mac OS,Safari,Macintosh,,,,19:01:12,2023-11-30,ukraine will attack back,1370,1575648599806922752,#UkraineRussiaWar #Ukraine #Russia ⚽️ UEFA,"#UkraineRussiaWar #Ukraine #Russia

⚽️ UEFA will not allow clubs from #Crimea to participate in the championship of Russia

The Union of European Football Associations stressed that they would not lift the ban on the integration of Crimean clubs, adopted back in 2014 https://t.co/i5RJI3IoMB",Fri Sep 30 00:47:54 +0000 2022,
84.89.157.16,Mac OS,Safari,Macintosh,,,,19:01:12,2023-11-30,trump and north korea,31,1575341804781723648,need bring back support Ukraine.,"We need to bring these back in support for Ukraine. 
#SlavaUkraini #UkraineRussiaWar
#heymoscowupyourstshirt #russiaisateroriststate #ruzziaphobic https://t.co/k8zoc19X9Q",Thu Sep 29 04:28:49 +0000 2022,
84.89.157.16,Mac OS,Safari,Macintosh,,,,19:01:12,2023-11-30,trump and north korea,31,1575617331145101312,#US #Nato #hypocrisy #USA empire,"#US #Nato #hypocrisy and #USA empire of lies has no limits...
 they will use this falseflag attack as a means for declaring war (send their troops to #ukraine) on #Russia after #putin speech tomorrow 
#NordStream2 #Nordstream1 #UkraineRussiaWar 
#sanktionengegenusa #Germany https://t.co/k6BVWREVV9",Thu Sep 29 22:43:39 +0000 2022,
84.89.157.16,Mac OS,Safari,Macintosh,,,,19:01:12,2023-11-30,trump and north korea,31,1575834582275878912,Details sketchy think Putin annexed,"Details are sketchy but I think Putin just annexed South Korea...

#UkraineRussiaWar 
#OSINT
#Fellas #NAFO https://t.co/njgRD26O0D",Fri Sep 30 13:06:56 +0000 2022,
84.89.157.16,Mac OS,Safari,Macintosh,,,,19:01:12,2023-11-30,trump and north korea,31,1575388580389822464,"300,000 people fled Ukraine last","@KyivPost 300,000 more people fled Ukraine in the last week for other countries. This trumps any Russian losses. Ukraine and @Zelenskyyua will always unequivocally be losers
#UkraineWar #UkraineRussiaWar #usa https://t.co/pBmK7m3wkK",Thu Sep 29 07:34:41 +0000 2022,https://t.co/9V7VokEQNB
84.89.157.16,Mac OS,Safari,Macintosh,,,,19:01:12,2023-11-30,trump and north korea,31,1575903030490562560,🇺🇦Not Russia #RussiaIsLosing #NAFO #Fellas,"🇺🇦Not Russia

#RussiaIsLosing  #NAFO #Fellas
#UkraineRussiaWar #Anonymous #FckPutin #StandWithUkraine #PutinIsaWarCriminal 
#RussianArmy #RussianInvasion #UkraineUnderAttaсk 
#РоссияСмотри #RussiaIsATerroristState #CancelRussia https://t.co/YyTzJm68CB",Fri Sep 30 17:38:55 +0000 2022,https://t.co/74dPyn9F9a
